Col1,Col2,Col3,Col4,Name
haw,riv,at,sr,Haw
muddy,crk,at,sr,Muddy
morgan,crk,at,mason,Morgan
deep,riv,at,sr,Deep
randleman,lake,at,sr,NA
new,hope,creek,at,New Hope
new,hope,creek,at,New Hope
smith,crk,at,sr,Smith
smith,creek,at,sr,Smith
third,fork,crk,at,Third
third,fork,crk,at,Third
long,branch,at,sr,Long Branch
bolin,creek,at,village,Bolin
third,fork,cr,at,Third
morgan,creek,near,white,Morgan
bolin,cr,at,us,Bolin
bolin,creek,ab,franklin,Bolin
collins,creek,at,hwy,Collins
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
collins,crk,midstream,blw,Collins
unnamed,trib,1,to,NA
unnamed,trib,2,to,NA
richland,creek,at,sr,Richland
neuse,riv,at,sr,Neuse
richland,crk,at,sr,Richland
richland,crk,at,sr,Richland
richland,crk,at,sr,Richland
richland,crk,at,sr,Richland
richland,creek,nr,"archdale,",Richland
deep,riv,at,i85,Deep
haw,riv,at,sr,Haw
collins,cr,ab,sr,Collins
smith,creek,at,sr,Smith
haw,riv,at,sr,Haw
richland,crk,at,sr,Richland
booker,crk,at,nc,Booker
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
deep,riv,at,sr,Deep
little,river,at,nc,Little
third,fork,crk,at,Third
neuse,riv,at,sr,Neuse
ut,to,deep,river,Deep
big,alamance,creek,at,Great Alamance
deep,riv,nr,jamestown,Deep
sandy,creek,at,cornwallis,Sandy
little,lick,crk,at,Little Lick
cane,creek,near,orange,Cane
varnals,crk,at,sr,Varnals
bull,run,at,nc,Bull
big,alamance,crk,at,Great Alamance
alamance,crk,at,sr,NA
big,alamance,crk,at,Great Alamance
big,alamance,crk,at,Great Alamance
big,alamance,crk,at,Great Alamance
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
little,alamance,cr,at,Little
e,fork,deep,riv,Deep
w,fork,deep,riv,Deep
town,branch,at,sr,Town Branch
haw,riv,at,nc,Haw
haw,riv,at,nc,Haw
south,buffalo,creek,nr,Buffalo
branch,creek,at,nc,NA
ellerbe,crk,at,sr,Ellerbe
s,buffalo,crk,at,Buffalo
s,buffalo,crk,at,Buffalo
rock,cr,trib,at,Rock
rock,cr,above,rock,Rock
haw,riv,at,i85,Haw
eno,riv,at,us,Eno
eno,riv,at,sr,Eno
n,buffalo,cr,at,Buffalo
n,buffalo,crk,at,Buffalo
moadams,crk,at,corrigdor,Moadams
moadams,crk,at,corrigdor,Moadams
haw,riv,at,nc,Haw
haw,riv,at,hwy,Haw
moadams,crk,at,sr,Moadams
moadams,crk,at,sr,Moadams
n,buffalo,creek,at,Buffalo
n,buffalo,crk,at,Buffalo
dry,cr,above,service,Dry
service,creek,above,dry,Service
s,buffalo,crk,at,Buffalo
s,buffalo,crk,at,Buffalo
n,buffalo,crk,at,Buffalo
haw,river,at,sr,Haw
little,riv,res,at,Little
knap,of,reeds,crk,Knap of Reeds
n,buffalo,crk,at,Buffalo
n,buffalo,crk,at,Buffalo
flat,riv,at,sr,Flat
dry,crk,beside,sr,Dry
richland,creek,at,guilford,Richland
hunting,creek,NA,NA,NA
little,riv,at,sr,Little
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
ut,to,mountain,crk,Mountain
reedy,fork,near,oak,Reedy
reedy,fork,at,nc,Reedy
reedy,fork,at,nc,Reedy
reedy,fork,at,sr,Reedy
reedy,fork,at,sr,Reedy
haw,riv,at,sr,Haw
haw,riv,at,nc,Haw
jordan,crk,at,sr,Jordan
ut,to,stagg,crk,Stagg
flat,riv,at,sr,Flat
jordan,crk,at,sr,Jordan
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
haw,riv,at,sr,Haw
haw,riv,at,us,Haw
haw,riv,at,us,Haw
haw,riv,at,us,Haw
haw,riv,at,us,Haw
deep,crk,nr,moriah,Deep
troublesome,crk,at,us,Little Troublesome
troublesome,crk,at,us,Little Troublesome
little,troublesome,crk,at,Little Troublesome
little,troublesome,crk,nr,Little Troublesome
